iter	Passed	Remaining
0	9	9276
1	17	8947
2	25	8376
3	33	8373
4	41	8347
5	50	8316
6	58	8268
7	66	8202
8	73	8108
9	83	8218
10	91	8234
11	98	8134
12	107	8124
13	114	8095
14	123	8081
15	131	8064
16	139	8055
17	147	8037
18	156	8069
19	164	8040
20	172	8020
21	179	7961
22	186	7931
23	195	7955
24	203	7939
25	211	7924
26	219	7902
27	227	7883
28	236	7911
29	244	7894
30	252	7898
31	260	7876
32	268	7874
33	277	7883
34	285	7867
35	293	7856
36	301	7854
37	309	7831
38	317	7833
39	326	7841
40	334	7835
41	343	7831
42	351	7830
43	360	7826
44	368	7824
45	376	7816
46	385	7807
47	392	7786
48	400	7782
49	409	7775
50	418	7787
51	426	7776
52	435	7781
53	443	7772
54	452	7772
55	460	7770
56	469	7769
57	478	7766
58	487	7768
59	495	7759
60	504	7760
61	512	7754
62	520	7748
63	529	7749
64	538	7747
65	547	7744
66	555	7733
67	564	7739
68	573	7742
69	582	7743
70	591	7739
71	600	7740
72	609	7738
73	617	7733
74	626	7732
75	635	7726
76	644	7721
77	652	7714
78	661	7708
79	669	7698
80	678	7697
81	686	7689
82	695	7680
83	703	7676
84	712	7672
85	719	7650
86	728	7641
87	736	7635
88	746	7637
89	754	7630
90	762	7619
91	770	7605
92	778	7596
93	787	7586
94	795	7578
95	804	7572
96	813	7571
97	821	7563
98	830	7561
99	838	7549
100	847	7545
101	856	7540
102	864	7532
103	873	7524
104	882	7518
105	890	7512
106	899	7508
107	909	7508
108	918	7508
109	926	7497
110	934	7482
111	942	7474
112	951	7467
113	960	7461
114	968	7454
115	977	7450
116	985	7439
117	994	7430
118	1002	7423
119	1011	7416
120	1019	7405
121	1028	7399
122	1037	7394
123	1045	7386
124	1054	7381
125	1063	7377
126	1072	7371
127	1076	7334
128	1085	7327
129	1094	7324
130	1103	7318
131	1107	7284
132	1116	7277
133	1124	7270
134	1131	7247
135	1139	7237
136	1148	7235
137	1152	7200
138	1162	7198
139	1171	7193
140	1179	7185
141	1188	7180
142	1199	7186
143	1208	7185
144	1218	7185
145	1228	7186
146	1235	7169
147	1243	7160
148	1248	7127
149	1257	7123
150	1265	7113
151	1273	7106
152	1279	7084
153	1287	7075
154	1296	7067
155	1304	7060
156	1312	7049
157	1318	7023
158	1326	7015
159	1330	6986
160	1338	6976
161	1346	6963
162	1351	6939
163	1359	6930
164	1368	6923
165	1377	6919
166	1385	6909
167	1393	6900
168	1401	6889
169	1409	6881
170	1417	6873
171	1425	6864
172	1434	6857
173	1442	6848
174	1451	6841
175	1459	6833
176	1468	6827
177	1477	6821
178	1484	6811
179	1494	6806
180	1498	6782
181	1507	6774
182	1515	6764
183	1523	6758
184	1532	6750
185	1539	6736
186	1547	6728
187	1556	6723
188	1564	6714
189	1569	6692
190	1578	6685
191	1586	6677
192	1594	6667
193	1602	6659
194	1607	6634
195	1612	6614
196	1620	6606
197	1628	6595
198	1636	6586
199	1644	6578
200	1653	6572
201	1662	6566
202	1670	6559
203	1676	6541
204	1680	6516
205	1686	6501
206	1695	6494
207	1703	6487
208	1711	6479
209	1717	6462
210	1726	6455
211	1734	6447
212	1739	6427
213	1747	6417
214	1752	6397
215	1760	6388
216	1768	6380
217	1777	6375
218	1785	6368
219	1794	6361
220	1802	6354
221	1810	6345
222	1819	6339
223	1828	6333
224	1836	6326
225	1845	6320
226	1853	6311
227	1862	6305
228	1870	6296
229	1874	6276
230	1879	6255
231	1887	6248
232	1895	6240
233	1904	6234
234	1912	6227
235	1921	6220
236	1930	6213
237	1936	6199
238	1944	6191
239	1948	6170
240	1957	6164
241	1961	6144
242	1970	6137
243	1977	6126
244	1984	6116
245	1993	6110
246	2001	6102
247	2010	6095
248	2018	6088
249	2024	6073
250	2032	6065
251	2041	6059
252	2049	6050
253	2057	6043
254	2066	6036
255	2075	6030
256	2082	6022
257	2091	6013
258	2099	6006
259	2108	5999
260	2116	5993
261	2119	5969
262	2128	5963
263	2136	5956
264	2143	5945
265	2152	5939
266	2161	5932
267	2168	5924
268	2173	5905
269	2181	5899
270	2190	5891
271	2198	5883
272	2206	5875
273	2213	5865
274	2221	5856
275	2229	5848
276	2238	5842
277	2246	5835
278	2255	5828
279	2259	5809
280	2267	5802
281	2275	5793
282	2283	5785
283	2291	5777
284	2296	5762
285	2305	5755
286	2313	5747
287	2321	5739
288	2329	5731
289	2338	5724
290	2346	5717
291	2350	5699
292	2358	5690
293	2366	5682
294	2374	5675
295	2382	5667
296	2391	5660
297	2398	5650
298	2406	5642
299	2414	5634
300	2423	5628
301	2427	5610
302	2435	5603
303	2444	5595
304	2452	5589
305	2460	5579
306	2466	5567
307	2475	5561
308	2483	5553
309	2492	5547
310	2501	5542
311	2510	5536
312	2519	5530
313	2527	5522
314	2536	5516
315	2544	5508
316	2552	5500
317	2557	5484
318	2565	5477
319	2572	5466
320	2580	5458
321	2589	5452
322	2596	5443
323	2601	5427
324	2608	5417
325	2616	5410
326	2624	5402
327	2633	5396
328	2642	5389
329	2650	5381
330	2658	5372
331	2667	5366
332	2675	5359
333	2683	5351
334	2692	5344
335	2697	5330
336	2705	5322
337	2712	5313
338	2721	5307
339	2729	5298
340	2737	5290
341	2743	5277
342	2751	5269
343	2759	5262
344	2767	5254
345	2776	5247
346	2784	5239
347	2792	5231
348	2800	5224
349	2808	5215
350	2816	5207
351	2823	5198
352	2831	5189
353	2839	5180
354	2846	5172
355	2855	5164
356	2863	5157
357	2872	5150
358	2881	5144
359	2889	5136
360	2897	5128
361	2906	5122
362	2914	5115
363	2923	5107
364	2931	5099
365	2939	5091
366	2947	5083
367	2955	5076
368	2960	5062
369	2967	5051
370	2975	5044
371	2983	5037
372	2992	5029
373	2999	5020
374	3008	5013
375	3015	5004
376	3024	4998
377	3033	4991
378	3042	4984
379	3050	4976
380	3058	4969
381	3066	4960
382	3074	4952
383	3083	4945
384	3091	4938
385	3099	4930
386	3108	4923
387	3116	4915
388	3123	4906
389	3132	4899
390	3140	4891
391	3148	4883
392	3156	4875
393	3166	4869
394	3174	4861
395	3182	4854
396	3191	4846
397	3198	4838
398	3205	4828
399	3210	4815
400	3218	4807
401	3227	4800
402	3235	4793
403	3244	4786
404	3253	4779
405	3262	4772
406	3270	4765
407	3278	4757
408	3287	4750
409	3295	4742
410	3303	4734
411	3312	4727
412	3320	4718
413	3328	4711
414	3337	4704
415	3346	4697
416	3354	4689
417	3363	4682
418	3371	4675
419	3380	4667
420	3388	4660
